               0.035               0.105
               0.045               0.135
               0.055               0.165
               0.065               0.195
               0.075               0.225
               0.085               0.255
               0.095               0.285
               0.105               0.315
               0.115               0.345
               0.125               0.375
               0.135               0.405
               0.145               0.435
               0.155               0.465
               0.165               0.495
               0.175               0.525
               0.185               0.555
               0.195               0.585
               0.205               0.615
               0.215               0.645
               0.225               0.675
               0.235               0.705
               0.245               0.735
               0.255               0.765
               0.265               0.795
               0.275               0.825
               0.285               0.855
               0.295               0.885
               0.305               0.915
               0.315               0.945
               0.325               0.975
               0.335               1.005
               0.345               1.035
               0.355               1.065
               0.365               1.095
               0.375               1.125
               0.385               1.155
               0.395               1.185
               0.405               1.215
               0.415               1.245
               0.425               1.275
               0.435               1.305
               0.445               1.335
               0.455               1.365
               0.465               1.395
               0.475               1.425
               0.485               1.455
               0.495               1.485
               0.505               1.515
               0.515               1.545
               0.525               1.575
               0.535               1.605
               0.545               1.635
               0.555               1.665
               0.565               1.695
               0.575               1.725
               0.585               1.755
               0.595               1.785
               0.605               1.815
               0.615               1.845
               0.625               1.875
               0.635               1.905
               0.645               1.935
               0.655               1.965
               0.665               1.995
               0.675               2.025
               0.685               2.055
               0.695               2.085
               0.705               2.115
               0.715               2.145
               0.725               2.175
               0.735               2.205
               0.745               2.235
               0.755               2.265
               0.765               2.295
               0.775               2.325
               0.785               2.355
               0.795               2.385
               0.805               2.415
               0.815               2.445
               0.825               2.475
               0.835               2.505
               0.845               2.535
               0.855               2.565
               0.865               2.595
               0.875               2.625
               0.885               2.655
               0.895               2.685
               0.905               2.715
               0.915               2.745
               0.925               2.775
               0.935               2.805
               0.945               2.835
               0.955               2.865
               0.965               2.895
               0.975               2.925
